# lang	adj_first	noun_first	total	rule	p_adj_first
ar	10	28	38	NounFirst	0.263
de	8	32	40	NounFirst	0.200
en	0	0	0	NoData	0.0
es	97	387	484	NounFirst	0.200
fr	49	58	107	Undetermined	0.458
he	0	1	1	NounFirst	0.000
it	53	241	294	NounFirst	0.180
nl	18	11	29	Undetermined	0.621
pl	40	161	201	NounFirst	0.199
pt	49	84	133	Undetermined	0.368
ru	65	9	74	AdjFirst	0.878
sv	13	8	21	Undetermined	0.619
tr	13	3	16	AdjFirst	0.812
