# lang=nl
week	hard
toegestaan	onwettig
toegestaan	verboden
voorhoede	achterhoede
boeg	achtersteven
onaangenaam	aangenaam
naderhand	van tevoren
naderhand	vooraf
daling	stijging
daling	heffing
doorlatend	ondoorlatend
voedselrijk	voedselarm
voedselarm	voedselrijk
langgerokt	kortgerokt
kortgerokt	langgerokt
gelezen	ongelezen
laagland	hoogland
hoogland	laagland
autochtoon	allochtoon
autochtoon	buitenlands
allochtoon	autochtoon
invoer	uitvoer
uitvoer	invoer
onafhankelijkheid	afhankelijkheid
wettelijk	onwettelijk
gelijkmatig	ongelijkmatig
bevolken	ontvolken
beschaafd	onbeschaafd
behagen	onbehagen
onthullen	verhullen
drinkbaar	ondrinkbaar
ondrinkbaar	drinkbaar
denkbaar	ondenkbaar
ondenkbaar	denkbaar
echt niet	echt wel
echt wel	echt niet
vijandelijk	vriendelijk
meerderheid	minderheid
zuiverheid	onzuiverheid
inwendig	uitwendig
uitwendig	inwendig
bovenkant	onderkant
onderkant	bovenkant
vooruit	achteruit
vooruit	achterwaarts
vooruit	terug
vooruit	teruguit
vooruit	terugwaarts
vernederen	verheffen
groothandel	detailhandel
nadelig	voordelig
voordelig	nadelig
zachte g	harde g
harde g	zachte g
beroepshalve	privé
eenwording	opsplitsing
kustgebied	binnenland
kustgebied	binnenlanden
ontbinding	oprichting
ontbinding	opening
ontbinding	stichting
ontbinding	grondlegging
complexiteit	eenvoudigheid
complexiteit	simpelheid
verwaarlozing	aandacht
medewerking	tegenwerking
individualisme	collectivisme
buitenstaander	bekende
wederrechtelijk	legaal
achteraf	vooraf
achteraf	van tevoren
roekeloosheid	voorzichtigheid
hoogspanning	laagspanning
v.Chr.	n.Chr.
onrechtstreeks	rechtstreeks
afkeuren	goedkeuren
achtersteven	boeg
achtersteven	voorsteven
gewelddadig	geweldloos
gewelddadig	niet-gewelddadig
n.Chr.	v.Chr.
naartoe	vanaf
geweldloos	gewelddadig
dieptepunt	hoogtepunt
westelijk	oostelijk
oostelijk	westelijk
onopvallend	opvallend
opwaarts	neerwaarts
opwaarts	afwaarts
ontvolken	bevolken
voorkant	achterkant
onwaarheid	waarheid
ontevredenheid	tevredenheid
blaam	lof
wanhoop	hoop
eenlettergrepig	meerlettergrepig
meerlettergrepig	eenlettergrepig
minstens	hoogstens
minstens	hooguit
stroomopwaarts	stroomafwaarts
stroomafwaarts	stroomopwaarts
achteruit	vooruit
wereldlijk	geestelijk
bakboord	stuurboord
mentaal	fysiek
mentaal	lichamelijk
vooraf	achteraf
vooraf	naderhand
ongeldig	geldig
van tevoren	achteraf
van tevoren	naderhand
ouderwets	modern
ouderwets	nieuwerwets
oplettendheid	onoplettendheid
onoplettendheid	oplettendheid
haalbaarheid	onhaalbaarheid
internationaal	binnenlands
internationaal	nationaal
vormeloos	gevormd
vormeloos	welgevormd
figuratief	abstract
omlaag	omhoog
omlaag	op
omlaag	opwaarts
omlaag	naar boven
naar boven	naar beneden
naar beneden	naar boven
dankbaar	ondankbaar
voorspoed	tegenspoed
geurig	aromatisch
geurig	welriekend
geurig	geurloos
aeroob	anaeroob
onzuiverheid	zuiverheid
stabiel	labiel
stabiel	onevenwichtig
stabiel	veranderlijk
stabiel	wispelturig
aantreden	aftreden
zichtbaarheid	onzichtbaarheid
microscopisch	astronomisch
microscopisch	gigantisch
microscopisch	reusachtig
nederig	arrogant
nederig	trots
geldigheid	ongeldigheid
aantrekkelijk	onaantrekkelijk
sedentair	nomadisch
dialoog	monoloog
aftrekking	optelling
warmte	kou
warmte	koude
aankleden	ontkleden
aankleden	uitkleden
geliefd	ongeliefd
namiddag	voormiddag
mortaliteit	immortaliteit
mortaliteit	nataliteit
mortaliteit	geboortecijfer
artificieel	natuurlijk
refrein	couplet
antithese	these
antithese	thesis
omnivoor	carnivoor
omnivoor	vleeseter
omnivoor	planteneter
omnivoor	vegetariër
alleseter	vegetariër
alleseter	planteneter
alleseter	carnivoor
alleseter	vleeseter
tekort	teveel
analfabeet	alfabeet
analfabeet	geletterde
tegenvallen	meevallen
roodverschuiving	blauwverschuiving
blauwverschuiving	roodverschuiving
volslank	mager
volslank	uitgemergeld
seksueel	aseksueel
wisselspanning	gelijkspanning
gelijkspanning	wisselspanning
wisselstroom	gelijkstroom
gelijkstroom	wisselstroom
onderbuik	bovenbuik
huurling	dienstplichtige
huurling	vrijwilliger
vrijgezel	echtman
rechtvaardigheid	onrecht
rechtvaardigheid	onrechtvaardigheid
noordeling	zuiderling
werkman	werkgever
kinderloos	kroostrijk
gematigde	extremist
gematigde	fanaticus
ontsluieren	versluieren
luchtig	gewichtig
dystopie	utopie
vrijwilliger	bezoldigde
vrijwilliger	dienstplichtige
vrijwillig	gedwongen
vrijwillig	verplicht
onzekerheid	zekerheid
onveiligheid	veiligheid
dapperheid	lafheid
ontkleden	aankleden
statisch	dynamisch
industrieel	artisanaal
gedwongen	ongedwongen
gedwongen	vlot
zwarte	blanke
xenofobie	xenofilie
xenofobie	xenomanie
wispelturig	stabiel
gehoorzaam	ongehoorzaam
stiel	liefhebberij
samenwerken	wedijveren
gelovige	ongelovige
verdienstelijk	onverdienstelijk
onverdienstelijk	verdienstelijk
verenigbaar	onverenigbaar
onbekende	bekende
korte broek	lange broek
inademing	uitademing
betwist	onbetwist
gelover	ongelovige
kansspel	berekening
kerkelijk	onkerkelijk
aftelbaar	overaftelbaar
overaftelbaar	aftelbaar
onovergankelijk werkwoord	overgankelijk werkwoord
gehuwd	ongehuwd
gehuwd	ongetrouwd
gehuwd	gescheiden
gehuwd	vrij
optelling	aftrekking
smartelijk	smarteloos
loef	lij
pluimen	laten
testamentair	intestaat
bijzaak	hoofdzaak
hoofdzaak	bijzaak
kakofonie	harmonie
synthese	analyse
inertie	dynamisme
inertie	doortastendheid
inertie	besluitvaardigheid
wintersport	zomersport
kleurloos	gekleurd
kleurloos	kleurig
kleurloos	kleurrijk
tegenvaller	meevaller
onderarm	bovenarm
sluiter	opener
stabiliteit	instabiliteit
instabiliteit	stabiliteit
collectivisme	individualisme
decentraliseren	centraliseren
centraliseren	decentraliseren
slakkengang	noodgang
slakkengang	rotvaart
aanleren	afleren
kuise	onkuise
rijke	arme
onbetwist	betwist
onverenigbaar	verenigbaar
bovenkleed	onderkleed
bovenkleed	ondergoed
deelbaar	ondeelbaar
