# lang=nl
woordenboek	dictionary
rijtuig	a horse-drawn carriage
gids	guide
biefstuk	beefsteak, steak
eigenlijk	actual
eigenlijk	actually, really, in reality, strictly speaking
nagerecht	dessert
voorgerecht	a starter, the first course of a meal, an entrée
hoofdgerecht	a main course, the main dish of a meal
toetje	dessert, afters
verslapen	to oversleep
figurant	extra
figurant	irrelevant person, bit player
Jakob	Jacob (Old Testament figure)
manier	way, manner
manier	manner, good behaviour
terreur	terror, instance or cause of fear
terreur	regime of terror
terreur	terrorism
vandalisme	vandalism (needless damage or destruction of property)
mislukkeling	failure, loser
vertaler	translator
trut	bitch
trut	boring, narrow-minded or slow person
trut	pussy, cunt
alm	alpine pasture
ambassade	an embassy, diplomatic legation to permanently represent a foreign state at (the highest) embassador's level
ambassade	an ambassadorial mission
ambassade	an embassy building
zo'n	such a
zo'n	such a, what a
zo'n	about, approximately
opvallen	to stand out
opvallen	to notice
verklaren	to declare, state
verklaren	to explain
verklaren	to clarify
brisant	fast, snappy, explosive
paradigma	paradigm
paradigma	exemplar, model, blueprint
gade	spouse
boobytrap	booby trap
pruik	wig, peruke
adem	breath
rijbewijs	driver's license
loterij	lottery
terrasje	outdoor café
opdracht	task, assignment, an action that one is required to do
opdracht	commission, something that has been commissioned
opdracht	order, request
eerder	earlier, former
eerder	previous, prior
eerder	earlier
elkaar	each other, one another
voornaamwoord	pronoun
onzijdig	neutral
onzijdig	neuter
vrouwelijk	feminine
vrouwelijk	female
Kerstmis	Christmas
onderwijs	education
telwoord	numeral
telwoord	measure word, counter
allemaal	all, everyone
allemaal	all this/these; all kinds of, all sorts of
vanochtend	this morning, the morning at the beginning of the current day (in the past)
vanmiddag	this afternoon, the afternoon of the current day (in the future or past)
vanavond	tonight, this evening, the evening of the current day (in the future or past)
mobiel	mobile
mobiel	; a mobile phone, cellphone, mobile
mobiel	a mobile
telefoontje	(brief) telephone conversation
meteen	immediately; at once
meteen	while one is at it , at the same time
vorig	previous
nog wel	sometime
gauw	quickly
inlichtingen	information
verlichting	lighting, illumination
verlichting	alleviation, solace
verlichting	the Enlightenment
fiets	bicycle
fiets	motorbike
tramhalte	a tram stop , a streetcar stop
stationsgebouw	station building
bushokje	bus shelter
spaarpot	piggy bank
spaarpot	an amount of money to keep close at hand for emergencies
blijken	to appear, to become apparent
blijken	to appear
blijken	to turn out
volkomen	complete, total
volkomen	completely
verbeteren	to improve
verbeteren	to correct
verbetering	an improvement, amelioration
verbetering	a correction, rectification
verbetering	a reparation, amendment
dief	a thief, one who steals
inschenken	to pour
vlucht	flight
vlucht	a flock, a swarm (of flying birds)
vlucht	flight, escape
aantal	countable amount
aantal	a number, a plurality
aantal	a few
leeuwin	lioness
van Leeuwenhoek	a Dutch surname
van Leeuwenhoek	Anton van Leeuwenhoek Dutch scientist
bijwoord	adverb
bijwoord	proverb
waarvan	; of which
betrouwbaar	trustworthy, reliable
afronden	to round up
afronden	to round off, wrap up
afronden	to finish
jaarverslag	annual report
publiceren	to publish
publiceren	to proclaim, to announce
vergadering	meeting, gathering
vergaderen	to gather together, meet up, assemble
relatie	relation
relatie	relationship
zakenrelatie	business relation
getekend	full of both physical and emotional scars
zoveel	so many, so much
zoveel	that many, that much
ermee	(“with it”)
cijfer	digit, numeral
cijfer	statistic, figure
cijfer	a grade given for an assignment or class, particularly in primary school
hekel	a hatred
hekel	hackle, hatchel
erop	following, next
intuïtie	intuition
besteden	to spend
besteden	to match for a job
daarop	thereupon, following that
zekerheid	certainty
zekerheid	collateral
tegenwoordig	present (in time), current
tegenwoordig	physically present
tegenwoordig	nowadays, presently
omdat	because
bericht	message
bericht	communication
vooral	especially, above all
vooral	most of the time
althans	at least, anyway, at any rate
althans	right now, now, immediately
bijbel	bible
bijbel	any large book
mannelijk	manly
mannelijk	masculine
letterkunde	literature
letterkunde	the academic study of literature, literary science, literary studies
natuurkunde	physics
sterrenkunde	astronomy
stelkunde	algebra
medicijn	medicine, cure, medication
franco	with freightages paid by the sender
merk	brand
Higgsboson	Higgs boson
koninklijk	royal
koninklijk	royally
woede	anger, wrath, outrage
woede	frenzy
esthetica	aesthetic
esthetica	aesthetics
overwintering	the act or instance of spending the winter, overwintering
hypnose	hypnosis
novelle	a short novel, short story, a novella
novelle	a literary essay on closely related events
legering	encampment, camping, establishment of a (military) base
pulver	powder
Bretons	Breton
tautologie	tautology
balling	exile (exiled person)
plundering	looting
redding	rescue, rescuing
looping	loop-the-loop
nano-ohm	: 10-9 ohm
micro-ohm	microohm: 10-6 ohm
kilo-ohm	kiloohm: one thousand ohm
pico-ohm	: 10-12 ohm
supercomputer	a , type of computer that has great processing power
conservator	curator (of a museum or a library)
brigadier	constable
brigadier	, corporal, or a colonel in charge of a brigade
poot	limb (arm or leg) of an animal (sometimes human)
poot	leg or foot
slagen	to succeed (obtaining what was desired)
slagen	to pass a test or examination
regel	line of writing, verse; (pre-printed) straight line to write it on
regel	rule, regulation, custom, prescript; the statute of an order etc.
regel	narrow slat; especially a ruler
grosso modo	roughly, circa or approximately
vort	gone, lost, vanished
vort	go! move!
conjunctie	syzygy
conjunctie	conjunction
radicaal	radical, fundamental, thorough-going
radicaal	radical
al-	all-; pan-; omni-
legio	legion, numerous
legio	a multitude, a crowd
politiek	politics
politiek	political
verstaan	to understand (language, words), to hear clearly
verstaan	to understand (an idea, meaning), to comprehend
cursus	an educational course, on its own or as part of an academic or evening school curriculum
cursus	the documentation associated with a course, usually compiled by teachers themselves
pronomen	pronoun
tondeuse	hair clipper
heit	dad, father
oer	ferrous ground, sand clotted by iron(III) oxide, bog iron ore
stik	drat, darn
hiel	heel, part of the foot
hiel	analogous part of footwear or another physical entity
serendipiteit	serendipity
koers	a course of action, approach
koers	a course of a plane or ship
koers	the price of a stock or bond, rate, notably on an exchange
triplex	threefold
triplex	plywood consisting of three veneers
tot nu toe	so far, up until now
ik weet het echt niet	I really don't know
vaardigheid	skill
onderhandelen	to negotiate
voordeel	advantage
voordeel	front part
nadeel	disadvantage
jezelf	yourself
mijzelf	myself
basisschool	elementary school (US), primary school (UK)
lesgeven	to teach in class
mezelf	myself
dezelfde	the same
dezelfde	the same [one]
voldoening	satisfaction
uitstellen	to postpone, defer, delay
mogelijkheid	possibility
alvast	already
alvast	in advance (to do something before an ensuing event)
tevens	at the same time
tevens	moreover, also
onmogelijk	impossible
bepalen	to determine, to figure out
bepalen	to determine, to decide, to choose
bepalen	to limit oneself, to restrain oneself, to contain oneself
besluiten	to decide, to make a decision
betaald krijgen	to get paid
uiteindelijk	eventual
uiteindelijk	final
uiteindelijk	in the end; eventually
functie	job, position
functie	function, purpose
functie	function
sollicitatie	job application
inleveren	to turn in
inleveren	to sacrifice, to compromise, to give up on
aanraden	to suggest, advise
raden	to guess
raden	to advise
het doet er niet toe	it doesn't matter
muf	stale, musty
verongelijktheid	a feeling of being wronged by a society
luister	lustre/luster, splendor
luister	glory
tabletop	exercise
voltijds	full-time
deeltijds	part-time
oplossing	solution (e.g. to a mathematical problem)
oplossing	solution
tja	; hmm, yeah well
bestand	archive, file
bestand	truce
goh	gosh, gee
redelijk	reasonable
redelijk	reasonably, fairly, rather
heen en weer	to and fro, back and forth
heen	to, towards
heen	gone, outside the boundaries of the norms
huisarts	general practitioner, primary care physician
spreekkamer	a doctor's office, a surgery, a consulting room, a consultation room
wat kan ik voor u doen	what can I do for you?
voorstellen	to present, to put forth, to introduce
voorstellen	to propose, to suggest
voorstellen	to imagine
bezig	busy, occupied
bezig	in progress, on
stoer	firm, robust, sturdy,http://nl.thefreedictionary.com/stoer butch
stoer	tough, cool
stoer	cool, nice
hè	ugh, aww
hè	does it?, is it?, right?, eh?
sturen	to steer, guide
sturen	to send
stuur	a steering device, notably a steering wheel in a vehicle or handlebars on a bicycle
stuur	(used absolutely, with the definite article: het stuur) Control
stuur	a tax, a levy
duizeligheid	dizziness
in de gaten houden	to keep an eye on
in de gaten houden	to remember, to keep in mind
terugkomen	to come back, to return
terugkomen	to be echoed in
terugkomen	to go back on; to renege on
röntgenfoto	radiograph, X-ray photograph
uitslag	result
uitslag	what appears at the surface, e.g. moisture
uitslag	the act of bringing into circulation
jeuken	to itch
waterpokken	chicken pox
besmettelijk	contagious
jeuk	an itch; an itching
recept	recipe
recept	prescription
zalf	salve, cream, ointment
zalf	mayonnaise
wat is er aan de hand	what is the problem at hand? What is going on?
sensualist	(person who believes in enjoying sensuality)
sensualist	(one who holds to the doctrine of sensualism)
topos	, literary theme
topos	, mathematical structure
112	, the pan-European emergency phone number
buis	pipe, duct
buis	television
buis	gambeson
af en toe	now and then; occasionally
nog wat	then some
van alles en nog wat	all kinds of things, all sorts of things
allerlei	all kinds of
allerlei	various
aandacht	attention
aandacht	respect
aandacht	affection
radeloos	desperate, being in dire need of something, and willing to take risks to get it
radeloos	at a loss, being uncertain about something, or lacking something (ideas, direction, ability)
behandeling	medical or therapeutic treatment, therapy
behandeling	judicial treatment
lichamelijk	physical, bodily
zeuren	to whine, to complain in an unpleasant manner
zeuren	to persist
achtereen	in succession
plek	spot, place
plek	bruise
levensbelangrijk	vitally important
naïef	naive
discotheek	discotheque
discotheek	music or sound record library
vluchten	to flee
gevlucht	a sail cross; the sail beams of a windmill, connecting the sweeps to the windshaft
zowat	just about; nearly
zowat	practically
zelfs	even (extreme example)
maar toch	yet; and yet, but still
hartstikke	very, freaking, hella
waarop	after which
afleveren	to deliver, to drop off
tijdstip	moment in time, point in time, time of day
koop	a purchase, bought acquisition
bedenken	to bethink
bedenken	to think of, to make up
bedenken	to reconsider, to change one's mind
aanbieding	offer
aanbieding	special, discount offer
bevrijding	liberation
bevrijden	to liberate, to free
supermarkt	supermarket
rustig	calm, tranquil, quiet
rustig	taking one's time, not hurried
rustig	calmly, tranquilly, quietly
tenminste	at least
koelkast	a refrigerator, a fridge
koelkast	an unfashionable, large, bulky cell phone
uitsparen	to save (e.g. money); spare
uitsparen	to leave a hole or space
internetten	to use the internet
computeren	to use the computer
belastingformulier	tax form
belasting	strain, burden, load
belasting	tax, taxation
belasten	to burden, to encumber
belasten	to charge (e.g. taxes), to tax or levy
belasten	to charge, to order, to invest
goeie	nice!
tuinieren	to garden (to do gardening work)
rollerskate	a roller skate
camelia	a camellia, plant of the genus
André	borrowed from French
trouwens	besides; by the way
bovendien	moreover, furthermore
bovendien	besides, in addition
daarna	; thereafter, afterwards
overig	remaining
bezoeken	to visit
kletsen	to chat
kletsen	to smack, to slap
onpersoonlijk	impersonal
eenvoudig	simple
vanaf	starting from, from onwards, as of, as from
vanaf	from the top of
vanaf	away from
bezorgen	to deliver (hand over)
bezorgen	to provide
bezorgen	to provide for, to care for
bevestiging	confirmation
bevestiging	attachment
bedrijven	to do, to perform, to carry out
bedrijven	to commit, perpetrate
godsdienst	religion
vaker	more often ()
bereiken	to arrive at, to reach, to get to
bereiken	to achieve, to attain
afdeling	department, branch
afdeling	section, part
afdeling	regiment, army unit consisting of more than one battalions
zowel	both, as well as
dwars	in a crosswise direction, transverse, at right angles
dwars	slantwise, diagonal, askew
dwars	rebellious, stubbornly disobedient
bedoelen	to intend, to have an aim
bedoelen	to mean, to intend to communicate
middeleeuws	medieval
zeilboot	sailboat, sailing boat
spreekbeurt	oral presentation, lecture as a school project
verscheidene	various
met name	especially, in particular
plaatselijk	local
bepaald	certain
bepaald	specific
bepaald	definite
omgeving	surroundings, area, environment, environs
omgeving	social circle, environment
landelijk	national
landelijk	rural
zender	sender, a person who sends
zender	transmitter
zender	a television or radio channel
boulevardblad	tabloid
zogenaamd	so-called
zogenaamd	supposedly
invloed	influence
blijkbaar	apparently
blijkbaar	evident, apparent
hopelijk	hopefully
beslist	definitely, absolutely
absoluut	absolute, complete, perfect
absoluut	absolute, absolutist, absolutistic
meestal	most of the time, in most cases, usually
regelmatig	regular
zelden	rarely, seldom
lelijk	badly
integendeel	on the contrary
rondleiding	guided tour
fietstocht	bike ride
poffertje	, a small Dutch puffed pancake, a baby pancake
jeugd	youth
onderaan	at the bottom of
onderaan	at the bottom
bovenaan	at the top of
bovenaan	at the top
vrolijk	cheerful, merry, gleeful
overigens	besides
toen	then, subsequently
toen	back then, at the time, in those days
toen	when, at the time that
buitenland	all foreign countries, collectively; anything abroad
binnenland	everything within the boundaries of a nation (as opposed to buitenland)
binnenland	inland, hinterland, upcountry
openbaar	public
openbaar	non-affiliated (e.g. neither Catholic, Protestant, nor socialist)
trouw	loyalty, faithfulness
trouw	marriage
trouw	true, faithful, loyal
gelul	bullshit, empty talk
geweld	violence
geweld	strong or violent force; ferocity
stompzinnig	stupid, harebrained
maatschappij	company
maatschappij	society
stiekem	secretly, sneakily
stiekem	secretive, sneaky
luchtmacht	airforce
passen	to fit
passen	to try on, to fit, to try for size
passen	to befit, to suit, to behoove, to be appropriate
goedemorgen	good morning
slikken	to swallow
fors	stout, large
fors	substantial, considerable
fors	strongly
verzekering	insurance
verzekering	assurance, act of assuring, something that one has assured
illuster	illustrious, renowned, i.e. famous and distinguished
verzekeren	to assure
verzekeren	to insure
mee eens	; agreed
verkiezing	election (by vote or ballot)
verkiezing	election, predestination of the elect in orthodox Calvinism
zetel	chair, seat, especially as in parliament
verkiezen	to prefer
verkiezen	to elect
aanklagen	to denounce, accuse, indict, sue
meest	most
meest	mostly, usually
gunning	the act of awarding or allocating a project to a bidder
ridder	knight
ridder	one of certain butterflies of the family
ridder	a champion
serieus	serious
overwegen	to consider (think about doing)
formeren	to form
concurrentie	competition
uitsluiten	to exclude
uitsluiten	to preclude
Braziliaans	Brazilian
invloedrijk	influential
erkend	acknowledged, accepted
erkend	recognized
liefhebber	fan, enthusiast
liefhebber	amateur, dilettante
liefhebber	a lover, one who loves someone or something
bisschop	bishop
bisschop	bishop, bishop's wine
geregeld	regular
geregeld	controlled
geregeld	regularly
commentaar	commentary, comment
commentaar	comment
commentaar	commentary
geval	case, situation, instance
geval	thing
begroting	a budget, projected income and spending of a public or private organisation in a given period
begroting	a budget, the funds (or other means) reserved for a project
vorming	formation
vorming	education
overleg	talks, discussion, consultation
overleg	forum, negotiation (any permanent or regular discussion between parties)
overleg	consultative forum, consultative conference
partij	party, quantity
partij	party, group of people
partij	party, festivity
gesprek	talk, verbal conversation
verslag	report
eindverslag	final report
indienen	to offer, to hand in
dienst	service
dienst	draft
bergleeuw	mountain lion, puma
benoemen	to appoint, to nominate
benoemen	to name, to call by someone's or something's name
meerdere	more, several, multiple
meerdere	several, multiple
informateur	advisor
informateur	politician who researches the possible coalition options before a new cabinet is formed
formateur	trainer
formateur	chief political negotiator for formal talks that are intended to lead to the formation of a cabinet
afloop	ending, result, termination
beweging	movement, motion
beweging	physical activity, exercise
beweging	movement, group, organisation
voldoende	sufficient
voldoende	passing grade
beleid	policy, strategy, course of action
beleid	care, circumspection
beleid	method, manner, approach
inzetten	to insert
inzetten	to start off
inzetten	to use, to employ
nog lang	so far
onderhandeling	negotiation
vreemdeling	stranger
vreemdeling	foreigner
vreemdelingenbeleid	immigration policy
verdeling	division, partition, distribution
inkomensverdeling	income distribution
verschillend	different
verschillend	various
verschillen	to differ
poging	attempt
pogen	to attempt
wetgeving	legislation
huwelijk	marriage
verworvenheid	achievement
standpunt	standpoint; point of view
voorzitter	chairperson, president
tonen	to show, to demonstrate
tonen	to sound, to resound
bereidheid	willingness
betekenen	to mean, to signify
heersen	to rule
heersen	to prevail
woning	house, abode, residence, dwelling
onrecht	injustice
onrecht	incorrect, wrong
nood	emergency, crisis, distress (often used in compounds)
wachtlijst	waiting list
lijst	picture frame
slechts	only, just
verhuizen	to move house
acuut	acute, sharp
acuut	acute, sudden, immediate
acuut	acutely, very quickly, immediately
ministerie	ministry
ministerie	service, ministry
organisatie	an organization
organisatie	organisation, the way or degree that something is organised
frons	a frown, a furrow of one's eyebrows or forehead
inschrijven	to register
aanmelden	to apply, to announce
aanmelden	to apply
aanmelden	to log in
strategisch	strategic
wachttijd	waiting time
oplopen	to incur, to receive or suffer (an injury)
oplopen	to contract (a disease)
oplopen	to increase
revolutionairenveldbed	stretcher for revolutionaries
passant	passer-by
passant	a traveller in transit who is staying somewhere for a short period of time
grammaticus	grammarian
donder	thunder
donder	the head or body
donder	a thing (as in not a single thing)
bliksem	lightning
aangedaan	touched, moved
aanraking	touching
aanraking	contact
boodschap	message
boodschap	errand
kerstboodschap	Christmas message
meningsuiting	expression (of opinions)
democratie	democracy
beperken	to limit, to curtail, to restrict, to constrain
beperken	to abridge
beschaving	civilization
beledigen	to offend
onderstrepen	to underline, underscore
godsdienstvrijheid	freedom of religion
kwetsen	to offend, to insult
kwetsen	to wound, to injure
kwetsen	to hurt
oproepen	to call, invoke
oproepen	to appeal to
over en weer	mutually; from both sides
waarde	value, monetary or figurative worth
waarde	moral value, principle
waarde	value for a parameter
omgaan	to go around
omgaan	to pass
omgaan	to handle, to cope, to deal
vrijheid van het woord	freedom of speech (literally: "freedom of the word")
onontbeerlijk	indispensable, essential
wijsheid	wisdom
wijsheid	maxim, saying, adage, concise nugget of wisdom
grondslag	foundation, basis
grondslag	foundation of a building, basis; originally specifically one consisting of posts placed in the ground
geschieden	to occur
beschimpen	to taunt
beschimpen	to abuse
beheerst	restrained
onbeheerst	unrestrained
doel	aim, purpose
doel	destination
wijzen	to point
wijzen	to point out, indicate
wijzen	to direct to
opleggen	to put on
opleggen	to impose
tolerantie	tolerance
erkenning	recognition (of someone's achievements)
iemands	someone's, one's
vergen	to demand, utter/pose a requirement
vergen	to require, necessitate
vergen	to ask, inquire
cultuur	culture (practices and beliefs particular to a society or group)
cultuur	culture (arts, historic heritage and creative media as a sector)
cultuur	culture (cultivation, tillage of crops)
redetwisten	to argue, quarrel
beheersen	to control, to master
beheersen	to have mastery over, to know (how to)
inspanning	effort
vereisen	to need, require
opvatting	concept, idea
opvatting	opinion, view
rekening	a calculation
rekening	a mathematically consistent set of data in accounting
rekening	a client's account at a bank etc.
geslaagd	successful
bewaren	to preserve, keep
bewaren	to guard, watch over
tegenstelling	opposition, opposite
tegenstelling	contrast
oprecht	sincere, honest, upright, upstanding
zoektocht	search, quest
verdraagzaam	tolerant
samenleving	society
samenleving	cohabitation
adagium	adage
onbedoeld	unintentional
onbedoeld	unintentionally
toedoen	to close, shut
toedoen	help, cooperation
toedoen	activity
gesloten	closed
buitensluiten	to shut out, to lock out
buitensluiten	to exclude, to shun
kennelijk	apparent
kennelijk	apparently
balkondeur	balcony door
brandweer	firefighting, fire department, fire brigade
verkleumd	stiff/numb with cold
hoogwerker	aerial work platform
straf	a punishment, penalty, sanction
straf	a discomfort, misfortune
verhalen	to narrate
verhalen	to make someone pay the costs for something
waargebeurd	real, actual
visser	a fisher, a fisherman or, less commonly, a fisherwoman
overboord	overboard
krabvisser	crab fisher
krab	crab, crustacean of the infraorder
Pasen	Easter, the major Christian feast commemorating the Resurrection of Christ
Pinksteren	Pentecost, Whitsun
HGH	(which means how are you doing?)
mee	along, together (i.e. with one)
mee	able to follow
quenelle	dumpling, (food)
quenelle	quenelle (gesture)
inbox	(folder for incoming electronic files such as emails)
magie	magic, sorcery ; hence supernatural occurrences or phenonomena
magie	a magical, surprising, fascinating feat
magie	the art of illusionism
metrum	metre
slier	The act of sliding or gliding.
slier	A ribbon, wisp, strand.
Vlaming	Fleming
Nedersaksisch	Low Saxon
Nedersaksisch	the Low Saxon language
Nederduits	the Low German or Low Saxon language, now in general usage often restricted to German Low German
Nederduits	Any continental West Germanic language that is neither High German nor Frisian, thus including Dutch as well as Low German.
Nederduits	Dutch
Nederlandstalig	having knowledge of the Dutch language, said especially of native speakers
Nederlandstalig	in the Dutch language
Fries	a Frisian, member of a Germanic people (both the modern people and the ancient Frisii); a speaker of one of the Frisian languages
Fries	a West Frisian specifically; a speaker of the West Frisian language
personalia	general personal information (such as would be listed on e.g. a curriculum vitae), such as full name, age, place and date of birth, e-mail address, and telephone number
baar	a bier, a stretcher, a litter; a device used to carry someone or something, especially wounded or dead people
baar	a bed on which a dead person is displayed before he is buried
baar	a bar, an ingot
moedertaal	mother tongue
moedertaal	ancestral language
Amerikaanse	a female American
ophangen	to hang up
ophangen	to hang, to execute by hanging
ophangen	to hang up (a telephone), to end a telephone conversation
zichzelf	oneself; himself/herself/themselves
zichzelf	yourself (in combination with the polite pronoun u.)
executie	execution
nadoen	to imitate
jarige	person whose birthday it is; birthday girl, birthday boy; birthday kid
slaap	sleep
slaap	sleepiness
slaap	temple
aantreffen	to find, encounter, come across
stapelbed	bunkbed
genitaliën	genitals
terechtstelling	execution, the act of carrying out a death sentence
stelling	position, configuration
stelling	thesis, contention
stelling	sentence
verdrijven	to expel, to dispel, to drive away
verdrijven	to while (away)
gevecht	fight, combat, battle, struggle
Iraaks	Iraqi
vrezen	to fear
nieuwsgierig	curious, inquisitive
vernemen	to learn (of), to find out, to hear (about)
kwaad	angry, furious
kwaad	bad, evil, crooked
geschenk	gift, present
kerstgeschenk	Christmas gift
wereldoorlog	world war
uiting	expression, utterance
sfeer	sphere, round object
sfeer	atmosphere, ambiance, mood
voormalig	former
papiermolen	paper mill
fabriek	factory
karton	cardboard, paperboard
karton	cardboard package
kartonfabriek	cardboard factory
rondgang	a tour
watermolen	watermill
aandrijven	to drive, to power, to supply a driving force to
aandrijven	to float near, to approach or arrive floating
riem	belt, strap, thong, collar
riem	seat belt
riem	oar, paddle
wolfs	wolfish
godverdomme	Goddamn!
godverdomme	fuck!
poepen	to defecate; to shit
poepen	to fart
poepen	to fuck (to copulate)
woningmarkt	housing market
vertonen	to show, exhibit
overspannenheid	emotional exhaustion
verkoper	salesman, seller
vraagprijs	asking price
verkoopprijs	bidding price
kruipen	to crawl
kruipen	to creep
oorspronkelijk	original
oorspronkelijk	pristine
relatief	relative
relatief	relatively
relativiteit	relativity
leggen	to lay
leggen	to lay (eggs)
lijden	to undergo, endure, suffer
lijden	to suffer
lijden	suffering
voorzijn	to precede, to get to a place before (someone else)
afdingen	to haggle
dingen	to solicit
lonen	to be rewarding, to pay, to be profitable
beloning	reward
vereniging	association
vereniging	unification
vereniging	union
verenigd	united
makelaar	a broker, notably in stocks and other financial products
makelaar	a real estate agent, broker in immovable property
makelaardij	real estate agency
nog niet	not yet
verhit	fiery, hot, feverish
oververhit	overheated
dreigen	to threaten
dreigen	to be imminent, to loom
dreiging	threat
concluderen	to conclude
conclusie	conclusion
conclusie	opinion (judicial opinion delivered by an Advocate General to the European Court of Justice for a legal solution in a case)
slinken	to shrink, to lessen, to decrease
aantonen	demonstrate, show, prove
voegen	to place, to put
voegen	to add
voegen	to grout
aanvoegen	to join up
bieden	to make an offer, to bid
gebieden	to command, order
gebieden	to be in command
aanvoegend	subjunctive
aanvoegende wijs	subjunctive mood
aantonend	indicative
aantonende wijs	indicative mood
gebiedend	imperative
gebiedende wijs	imperative mood
presentatie	presentation
representeren	to represent
representatief	representative, characteristic
representatief	trying to make an impression, impressive
voordoen	to demonstrate
voordoen	to occur
voordoen	to pose, act, pretend (with )
deelwoord	a participle, a verb form that may function nominally or adjectivally
tegenwoordig deelwoord	present participle
voltooid deelwoord	past participle
voltooid	completed
voltooid	perfect
onvoltooid	unfinished
onvoltooid	imperfect
woonregio	residential area
opvallend	striking, notable
woningtype	housing type
vrijstaand	free-standing
aanvankelijk	initially, at first
aanvankelijk	initial
dreigend	threatening
dreigend	imminent, looming, impending
econoom	economist
werker	worker
arbeider	worker, labourer
krapte	shortage
doordat	because
hypotheek	mortgage
hypotheekrente	mortgage interest, mortgage rate
leegstaand	empty-standing
koopwoning	self-owned house
verzadiging	saturation
verzadiging	satiety
verzadigen	to saturate
verzadigen	to satisfy
schaarste	scarcity
kandidaat	candidate
advies	advice
raad	an advice, counsel
raad	a council, board, body which advises, concerts and/or decides
raad	a person who gives advice in an official, permanent capacity; a councillor; title of a member of an advisory body to a sovereign or a judicial council
meedoen	to take part, participate
inschrijving	registration
voorbijganger	passer-by
martelaar	martyr
singlet	a , short, sleeveless type of shirt, worn alone (as in sports) or as undershirt; originally only for men
offeren	to sacrifice
offeren	to offer
politica	female politician
voorzetsel	preposition
coördinator	coordinator
voegwoord	conjunction
tussenwerpsel	interjection
instelling	institution
instelling	attitude
instelling	setting, configuration option
klikken	to click
klikken	to go well relationwise, to have a click
klikken	to squeal on someone, to snitch
lidwoord	article
spijkeren	to nail
bijspijkeren	to brush up
betaalbaar	payable, affordable
inclusief	inclusive
inclusief	including, included
klik	click, sharp sound
klik	a good connection between (two) people
klik	a press of a mouse button
schoonheid	beauty
schoonheid	beautiful person or object
korting	discount
actueel	current, present
ondergoed	underwear
tijdig	timely, at the proper time
tijdig	in time, sufficiently early
afsluiten	to close off, seal
afsluiten	to conclude, to end, to terminate
reisverzekering	travel insurance
korten	to shorten
korten	to reduce in money (especially income)
kortaf	abrupt, brusque
afvragen	to wonder
gezondheid	health
gezondheid	gesundheit, bless you
tafelen	to dine at (a) table(s)
eerlijk	honest
eerlijk	fair, just
klant	customer, client
klant	chap, bloke
geschiedenis	history
geschiedenis	history, historical science
geschiedenis	event, happening
communicatie	communication
onderneming	venture, enterprise, concern
ondernemen	to undertake (an enterprise)
voorgrond	foreground
vestiging	branch, location
vestiging	establishment, settlement, founding
aansluiten	to connect
aansluiten	to install
aansluiten	to fit, to join up, to connect, to interface
doelgroep	target group, target audience
werkzaam	operative, active
werkzaam	hardworking
werkzaam	employed
geklets	waffle, chatter
hoofdstuk	chapter (in a book, film etc.)
zielig	sad, pitiful
zielig	pathetic
zoen	kiss, smooch
zoen	reconciliation, saught
zoen	atonement
maalderij	millhouse
paardenstal	horse stable
cardio-	: Pertaining to the heart
inhoud	content; contents
inhoud	index; table of contents
inhoud	volume
bloeddruk	blood pressure
advertentie	advertisement
belang	interest, concern
belang	importance, significance
advocaat	attorney, lawyer
advocaat	an alcoholic beverage made of liquor or pure alcohol, egg yolks and sugar or honey, similar to eggnog
schepper	creator, author, inventor
schepper	a tool used for shovelling or digging
reclamebureau	advertising agency
verpakking	packaging
leunen	to lean
kledingkast	wardrobe
bekend	(well-)known
bekend	familiar, trusted
bekende	an acquaintance, someone known/trusted to the person of reference, yet often less than a friend
bekende	(with the definite article: het bekende) The known, what one is familiar with
opwaarderen	to revalue, increase in value
opwaarderen	to top up (to extend the credit of something)
waarderen	to appreciate, to value
waarderen	to estimate the value of, to appraise
huidig	current, present
digitaal	digital
digitaal	digit
afdrukken	to print from a computer printer
afdrukken	to print
afdrukken	to extort, to rob under threat
drukken	to press
drukken	to print
drukken	to hide
beperkt	restricted, limited
webwinkel	online store
ouder	parent, father or mother; by extension a substitute caregiver
liniaal	ruler, straightedge
moord	murder, a type of killing legally in a more severe degree than homicide
moord	a tragedy, something extremely grave
openlijk	openly
terwijl	while, during the same time that
terwijl	whereas
mits	provided that, as long as
raak	hitting; to the point
raak	on target; scoring; counting
raak	pregnant
strijkijzer	iron, smoothing iron
strijkijzer	a racing cyclist who is bad at sprinting
strijken	to stroke
strijken	to iron, press (clothes)
strijken	to play a string instrument
keten	chain, fetter, shackle
keten	chain (of events or businesses)
keten	a network of civil society organisations, healthcare institutions, government agencies, etc., working together to provide coordinated social or medical care to a specific category of patients or other citizens
kleding	clothing
aankoop	purchase
uniek	unique
uniek	uniquely
skitta	shit, crap
meertalig	multilingual
uitspraak	pronunciation
uitspraak	judgment, decision
uitspraak	assertion, claim, expression
spraak	speech
spraak	language
waterval	waterfall
huisdier	domestic animal
omvatten	to envelop, encompass
omvatten	to include
bevelhebber	commander
bewerken	to work
bewerken	to work on, to till
bewerken	to edit, to rework
trefwoord	entry (in a dictionary)
trefwoord	headword
uitdrukken	to express
uitdrukken	to press out, to squeeze out
verwijzing	reference
verwijzing	link (hypertext)
verwijzing	referral
zodanig	in such a way, to such an extent; so
wijzigen	to edit, change, modify, alter
modificeren	to modify
