# lang=pt
bit	b
alarmar	inquietar
alarmar	perturbar
alarmar	sobressaltar
ignorar	deixar passar
ignorar	deixar
ignorar	esquecer
alisar	aplanar
alisar	desenrugar
clarear	clarejar
clarear	limpar
clarear	abrir
clarear	limpar a garganta
clarear	aclarar
clarear	clarificar
clarear	elucidar
clarear	aclarar
clarear	aclarear
clarear	esclarecer
clarear	amanhecer
clarear	nascer
clarear	raiar
consignar	afirmar
consignar	asseverar
consignar	cometer
consignar	confiar
consignar	declarar
consignar	depositar
consignar	entregar
consignar	mencionar
consignar	referir
consignar	transmitir
pender	curvar
pender	decair
pender	depender
pender	dependurar
pender	inclinar
pender	pendurar
pender	propender
pender	suspender
pender	tender
deleitar	regalar
deleitar	deliciar
deleitar	regozijar
esquivar	desdenhar
esquivar	desprezar
esquivar	menoscabar
esquivar	menosprezar
esquivar	evitar
flagelo	chicote
flagelo	relho
flagelo	açoite
flagelo	habena
flagelo	látego
tramado	fodido
tramado	lixado
tramado	quilhado
flecha	frecha
flecha	seta
flecha	agulha
prova	teste
prova	ensaio
prova	avaliação
prova	exame
prova	resquício
prova	indício
prova	testemunho
prova	evidência
prova	sinal
prova	vestígio
prova	evidência
prova	demonstração
prova	confirmação
prova	afirmação
prova	mostra
prova	asserção
prova	categoria
prova	modalidade
prova	disciplina
prova	experiência
prova	degustação
Peixes	Pisces
megabit	Mbit
megabit	Mb
até	antes
até	de
até	a
até	para
até	no máximo
pôr	colocar
pôr	botar
pôr	ir
pôr	[[ir]] [[a]]
pôr	a
pôr	botar
pôr	colocar
pôr	botar
pôr	vestir
pôr	deixar
verdura	viridez
verdura	verdor
série	sequência
série	linha
série	punhado
série	quantidade
série	porção
série	ano
série	seriado
série	trilogia
série	sequência
mercante	comercial
mercante	comerciante
mercante	mercantil
mercante	negociante
destro	especialista
destro	esperto
destro	esperto
isso	aquisso
isso	aquisto
isso	isto
lhe	ti
lhe	você
lhe	o senhor
lhe	para
lhe	[[para]]/[[a]] [[você]]/[[ti]]/[[o senhor]]
lhe	te
lhe	a
lhe	seu
lhe	ela
lhe	[[ele]], [[ela]]
lhe	ele
lhe	o
lhe	a
lhe	te
lhe	[[você]], [[o senhor]]
lhe	você
lhe	o senhor
vigente	vigor
emotivo	sensível
emotivo	sentimental
emotivo	emocional
emotivo	emocional
emotivo	emocionado
emotivo	emocional
emotivo	impressionável
divar	mitar
versificar	versejar
versificar	versar
placa	lâmina
placa	chapa
placa	placa dentária
placa	chapa
placa	placa de circuito
placa	placa tectónica
agonia	agoniação
agonia	ânsia
agonia	aflição
agonia	angústia
agonia	sofrimento
chocar	bater
chocar	em
chocar	contra
chocar	[[bater]] [[em]]/[[contra]]
chocar	bater
chocar	atingir
chocar	[[conflitar]] [[com]]
chocar	conflitar
chocar	com
rezar	orar
rezar	recitar
rezar	celebrar
certificar	se
certificar	lembrar
certificar	[[lembrar]](-[[se]]) [[de]]
certificar	de
travesseiro	almofada
renda	receita
renda	arrecadação
mescal	peiote
pungente	comovente
pungente	emocionante
pungente	picante
elmo	capacete
plataforma	área
plataforma	embarque
plataforma	desembarque
plataforma	sistema
plataforma	ambiente
plataforma	plataforma petrolífera
transplante	transplantação
tonelada	megagrama
tonelada	tonelada métrica
pudico	pudente
pudico	pudibundo
pudico	pudoroso
pudico	recatado
bamba	bambambã
isto	isso
isto	aquisto
cartaz	póster
cartaz	pôster
usina	fábrica
usina	indústria
usina	engenho
usina	engenho de açúcar
usina	engenho
usina	central elétrica
apagão	blecaute
semanal	hebdomadário
semanal	semanário
galhada	esgalho
galhada	haste
galhada	galharia
galhada	ramagem
galhada	ramaria
galhada	galhagem
galhada	galharada
galhada	corno
galhada	chifre
incêndio	conflagração
incêndio	inflamação
incêndio	queima
incêndio	fogo
demitir	exonerar
demitir	destituir
demitir	despedir
solidificar	congelar
esplendor	resplandecência
esplendor	fulgor
esplendor	brilho
esplendor	esplendência
esplendor	pompa
esplendor	esplendidez
romeno	daco-romeno
fiambre	presunto
fiambre	frios
margem	beira
margem	orla
margem	beirada
margem	beira
margem	borda
compreender	entender
compreender	entender
compreender	incorporar
compreender	incluir
envenenar	intoxicar
envenenar	arruinar
latim	língua
latim	latina
zettabyte	ZB
néon	neónio
digerir	digestir
raposa	golpelha
raposa	gambá
cardápio	menu
cardápio	ementa
cardápio	carta
abismal	abissal
abismal	abismático
matriz	princípio
matriz	manancial
matriz	origem
matriz	causa
matriz	fonte
matriz	vetor
matriz	bidimensional
matriz	sede
matriz	madre
matriz	útero
matriz	molde
matriz	estêncil
matriz	matriz extracelular
matriz	igreja matriz
expatriar	banir
expatriar	degredar
expatriar	deportar
expatriar	despatriar
expatriar	desterrar
expatriar	exilar
variar	se
variar	modificar
variar	mudar
variar	mutar
variar	alterar
periférico	marginal
gigabit	Gb
gigabit	Gbit
oriundo	de
oriundo	natural
oriundo	[[natural]] [[de]]
oriundo	[[vir
oriundo	origem
oriundo	[[de]] [[origem]]
soldadura	soldagem
soldadura	solda
soldadura	solda
relógio	horológio
fronteira	limite
fronteira	divisa
fronteira	estremadura
fronteira	estremadura
fronteira	confim
fronteira	separação
fronteira	divisão
fronteira	limite
fronteira	máximo
exabyte	EB
petabit	Pb
petabit	Pbit
sarro	piada
sarro	zoação
sarro	resíduo
sarro	borra
sarro	fezes
