# lang=tr
çıkma durumu	(colloquial, refers to the suffix of the case)
tamlayan durumu	ismin/adın tamlayan durumu ("genitive case of the noun")
yalın durum	ismin/adın yalın durumu ("nominative case of the noun")
yalın hal	ismin/adın yalın hali ("nominative case of the noun")
yalın	/
belirtme	/
yönelme	,
yönelme	/, ,
bulunma	/, ,
çıkma	/, , /, ,
çıkma hali	ismin/adın çıkma hali ("ablative case of the noun")
çıkma hali	(colloquial, refers to the suffix of the case)
tamlayan	/, (2)
Diyarbakır	(old name)
tecrit	(1, 5)
tecrit	(1, 5)
yalıtım	,
bitiş	-->
sürülmek	(to be driven)
sürülmek	(to be continued/lasted)
trajik	(1)
dökmek	,
belirli tanımlık	(dated)
belirsiz tanımlık	(dated)
kapsam	(obsolete)
basit kelime	/
germek	, ,
saçmak	, , , ,
saçmak	,
artmak	,
sürümek	,
sürçmek	,
sarsmak	,
sarsmak	,
iletmek	, ,
iletmek	,
sömürmek	,
kalık	, , ,
on altıncı	,
otuz üçüncü	,
otuz dördüncü	,
on yedinci	,
on sekizinci	,
on dokuzuncu	,
yirmi birinci	,
içeri	,
içeri	,
duyuru	ilan
düş dünyası	hayal dünyası
üslup	(1)
üslup	(2)
açıklama	izah
öğlen	öğleyin
öğleyin	öğlen
benzinlik	benzin istasyonu
benzinlik	akaryakıt istasyonu
anne-baba	ebeveyn
-anç	-enç, -ınç, -inç, -unç, -ünç
edebiyatçı	yazın eri
edebiyatçı	yazıncı
negatif	,
negatif	,
meçhul	, , , , ,
nişane	,
havale	konvülsiyon
ne demek!	, ,
ellinci	,
elli birinci	,
elli ikinci	,
elli üçüncü	,
elli dördüncü	,
doksan sekizinci	,
maraba	– laborer, field worker (more general)
maraba	– peasant, farmer
doksan yedinci	,
doksan altıncı	,
doksan beşinci	,
terbiyesiz	görgüsüz; ahlaksız; vicdansız ( in the 3rd sense)
terbiyesiz	unseasoned, without sauce, plain
ileri görüşlülük	ilericilik
ilericilik	ileri görüşlülük
karmakarışık	(chiefly Cyprus)
istemsiz	,
istemli	,
münasip	,
doksan dördüncü	,
doksan üçüncü	,
doksan ikinci	,
doksan birinci	,
yirmi ikinci	22'nci, 22.
tetraklorkarbon	karbon tetraklorür
tetraklorkarbon	tetraklorometan
tetraklorkarbon	dört klorlu karbon
kumluk	kumsal
kumluk	plaj
kumluk	kumla
kumluk	kumbaşı
çiftteker	, (chiefly Cyprus)
derrace	, (chiefly Cyprus)
sigoş	birader
sigoş	kanka
