# lang=he
גל חום	חַמְסִין
גל חום	שָׁרָב
יישום	הַגְשָׁמָה
יישום	אַפְּלִיקַצְיָה
שירה	happiness
שירה	singing
חנק	נֶחְנַק
זמן קצר	רגע
דקת קשת	דקת מעלה
מאונך	אֲנָכִי
מזרח	קֶדֶם
סבה	סָבְתָא
אורה	אוֹר
גוויה	גּוּפָה
גוויה	נְבֵלָה
גוויה	פֶּגֶר
שלט	שַׁלָּט רָחוֹק
מה פתאום	לָמָּה
מה פתאום	מַדּוּעַ
מר	אָדוֹן
איפה	אַיֵּה
וידאו	סִרְטוֹן
שניה	שנית
אורגזמה	אביונה
דרור	חֵרוּת
דרור	אַנְקוֹר
ש״ח	שֶׁקֶל
ש״ח	שֶׁקֶל חָדָשׁ
דף	דף אינטרנט
יחד	בְּיַחַד
פרקליט	סנגור
פרקליט	עורך דין
פרס	בָּצַע
־ון	־ית
־ון	־צ׳יק
אורח	מְבַקֵּר
אורח	אֻשְׁפִּיז
אורח	אֻשְׁפִּיזין
שדר	שדרן
סגד	הִשְׁתַּחֲוָה
קבע	החליט
קבע	הודיע
קבע	הכריז
אנחנו	אָנוּ
קשת	קֶשֶׁת בְּעָנָן
גנן	הֵגֵן
בשביל	ל־
קרה	כְּפוֹר
נגיף	וִירוּס
סכין	פִּגְיוֹן
עוד	שׁוּב
עוד	מֵחָדָשׁ
עוד	גַּם
תמה	עֶרְכַּת נוֹשֵׂא
קלרנית	קְלָרִינֶט
שושן	שׁוֹשַׁנָּה
נשק	כְּלִי נֶשֶׁק
עוף	ציפור
עוף	תרנגול
עוף	תרנגולת
שומר	שִׁנְעָר
מפה	מפת שולחן
צבר	סַבְּרֶה
עאכ״ו	כ״ש
עאכ״ו	ק״ו
מורה	מְחַנֵּךְ
מורה	מְלַמֵּד
מורה	פֵּדָגוֹג
בגלל	הודות ל-
בגלל	בִּשְׁבִיל
בגלל	בשל
בגלל	משום
אריה	לַיִשׁ
אריה	אֲרִי
אריה	לָבִיא
אריה	שַׁחַל
הלם	שׁוֹק
תמר	דֶּקֶל
בחר	הֶחְלִיט
בחר	choose
בחר	opt
בחר	decide
החליט	בָּחַר
מיקרואורגניזם	מִיקְרוֹבּ
ארוחה	סעודה
אנה	לְאָן
בית מלון	מָלוֹן
לביא	לַיִשׁ
לביא	שַׁחַל
לביא	אַרְיֵה
תלמיד	סטודנט
נער	בָּחוּר
נער	צָעִיר
נער	עֶלֶם
ע״ש	עש״ק
צום	תַּעֲנִית
חליל	חליל צד
שמרן	קוֹנְסֶרְבָטִיבִי
אשך	ביצים
שבועות	חַג הַקָּצִיר
שבועות	זְמַן מַתַּן תּוֹרָתֵנוּ
דמים	כֶּסֶף
־ית	־ה
־ית	־ת
מתכון	רצפט
מתכון	מִרְשָׁם
היכן	אֵיפֹה
תפוח עץ	תַּפּוּחַ
ארטישוק	קִנְרָס
תעמולה	פְּרוֹפָּגַנְדָּה
איפכא מסתברא	אַדְּרַבָּה
רבים	לְשׁוֹן רַבִּים
פח	פח אשפה
פח אשפה	פַּח
יעה	כַּף אַשְׁפָּה
כף אשפה	יָעֶה
צלחת	צֵלָחָה
במה	בִּימָה
גזוזטרה	מִרְפֶּסֶת
﬩	+
גר	גֵּר תּוֹשָׁב
גר	גֵּר צֶדֶק
מצלמת אינטרנט	מַצְלֵמַת רֶשֶׁת
רך	רַכּוּת
הושיע	הִצִּיל
מלכת אסתר	אֶסְתֵּר הַמַּלְכָּה
התחבר	התידד
פורנוגרפיה	פורנו
קונדום	כובעון
הטרוסקסואליות	סטרייטיות
הומוסקסואליות	הומואיות
אגודל	בּוֹהֶן
ארמון	הֵיכָל
ארמון	פָּלָטִין
חלחולת	רֶקְטוּם
הברה	פוֹנֵמָה
הברה	הגייה
כיס האשכים	שק האשכים
שק האשכים	כיס האשכים
מעות חטים	קמחא דפסחא
אגס	[[פְּרִי]]־אַגָּס
אגס	פְּרִי
אגס	אַגָּסָה
אגס	[[עֵץ]]־אַגָּס
אגס	עֵץ
אגס	נוּרָה
המקצוע העתיק ביותר בעולם	זנות
זנות	המקצוע העתיק ביותר בעולם
כיף	הֲנָאָה
חזר	שָׁב
טפיל	פָּרָזִיט
־ה	אל
־ה	בכיוון
־ה	ל־
מאיתנו	מִמֶּנּוּ
הומואיות	הומוסקסואליות
קעקע	קַעֲקוּעַ
קעקע	כְּתוֹבֶת קַעֲקַע
כתובת קעקע	קַעֲקוּעַ
חצות הלילה	חֲצוֹת הַלַּיִל
שחמט	מִשְׂחַק הַמְּלָכִים
שחמט	אִישְׁקוּקִי
שחמט	אִישְׁקוּקָה
שחמט	נַדְרְשִׁיר
יום טוב	י״ט
יום טוב	יו״ט
יו״ט	י״ט
י״ט	יו״ט
ניסה	הִשְׁתַּדֵּל
ניסה	בָּחַן
שפיכה	גְּמִירָה
נייד	טלפון נייד
נייד	פלאפון
נייד	טלפון סלולרי
נייד	סלולר
נייד	מחשב נייד
הארץ	אֶרֶץ יִשְׂרָאֵל
אף על פי	אע״פ
אף על פי	אעפ״י
סקסואלי	מִינִי
שכב	שָׁגַל
אלכוהול	כוהל
שיחה	שִׂיחַ
כוהל	אַלְכּוֹהוֹל
כותל	קִיר
אנוס	פי הטבעת
קנה	רָכַשׁ
התקשר	טִלְפֵּן
עייף	עָיַף
עייף	הִתִּישׁ
עייף	קָרַע
ארכיטקטורה	אַדְרִיכָלוּת
גברי	זכרי
החביא	הסתיר
מוזר	משונה
ענק	נָפִיל
ענק	עֲנָקִי
כלוב	סַל
כמו	כְּ־
כמו	כְּמוֹת
רצפט	מַתְכּוֹן
כש־	כַּאֲשֶׁר
כש־	כַּאֲשֶׁר
ראש הפין	כיפה
ראש הפין	עטרה
ראש הפין	קצה הפין
ברכת המזון	בהמ״ז
קרי לילה	מִקְּרֵה לָיְלָה
קרי לילה	חֲלוֹם רָטוּב
מלח לימון	חומצת לימון
חומצת לימון	מלח לימון
תיבה	קופסה
תיבה	ארון
בית חולים	בי״ח⁩
חרש	זמם
צפע	צִפְעוֹנִי
אורגנו	אֲזוֹבִית פְּשׁוּטָה
הפחית	הקטין
רומן	פָּרָשַׁת אֲהָבִים
כינה	קָרֳא
קולנוע	בית קולנוע
מארב	אַמְבּוּשׁ
פלאפון	טֶלֶפוֹן סֶלוּלָרִי
בלוג	blog
חמוץ	מלפפון חמוץ
ליל	לַיְלָה
התלונן	קיטר
טלפן	הִתְקַשֵּׁר
לאחר	אחרי
הקטין	הפחית
קרחון	קַרְחוֹן יַמִּי
סוללה	בָּטָרִיָּה
קפה הפוך	הָפוּךְ
איכתיולוגיה	ichthyology
איכתיולוגיה	חֵקֶר הַדָּגִים
בוטן	אֱגוֹז אֲדָמָה
משרד	לִשְׁכָּה
מעיל	אַדֶּרֶת
מלבד	חוּץ מִ־
אין בעד מה	בְּבַקָּשָׁה
אין בעד מה	עַל לֹא דָּבָר
לשעבר	קודם
לשעבר	ישן
גילה	גיל
על לא דבר	אֵין בְּעַד מָה
על לא דבר	בְּבַקָּשָׁה
חשבון אינפיניטסימלי	חשבון דיפרנציאלי ואינטגרלי
חשבון אינפיניטסימלי	אינפי
חשבון אינפיניטסימלי	חדו״א
חשבון דיפרנציאלי ואינטגרלי	אינפי
חשבון דיפרנציאלי ואינטגרלי	חדו״א
חשבון דיפרנציאלי ואינטגרלי	חשבון אינפיניטסימלי
סנדוויץ׳	כָּרִיךְ
קשיש	זָקֵן
לו	אִם
הוראה	study
הוראה	instruct
הוראה	learn
הוראה	הַדְרָכָה
לולין	אקרובט
זר	זר פרחים
עמו	אִתּוֹ
ממנו	מאיתנו
תקראנה	תִּקְרְאוּ
תקראנה	יִקְרְאוּ
נשיא	נָגִיד
ליד	[[בסמוך
ליד	על יד
הבדלה	אַבְדָּלָה
אפשר	נָתַן
אפשר	הִרְשָׁה
כלום	שום דבר
ביחד	יַחַד
שם עט	שם ספרותי
סוף	קֵץ
לאמר	לוֹמַר
על יד	ליד
גיהנום	גֵּיא בֶן הִנֹּם
כמות	כְּמוֹ
כמות	כְּ־
נגנב	הִתְלַהֵב
לאחר כך	אַחַר כָּךְ
בלארוס	רוסיה הלבנה
דפתר	מַחְבֶּרֶת
דפתר	פִּנְקָס
פנקס	דִּפְתָּר
פנקס	מַחְבֶּרֶת
שדרן	שַׁדָּר
אחז	החזיק
אחז	חבק
אחז	לפת
אחז	נקט
טיט	טִין
הרג	שְׁחִיטָה
שמרטף	שומר טף
שמרטף	בייביסיטר
הציל	הוֹשִׁיעַ
שב	חָזַר
תרח	חתיאר
אלו	אֵלֶּה
דלה	שָׁאַב
על כן	אֲשֶׁר עַל כֵּן
למה זה	למה
למה זה	מדוע
מסיבה	חֲגִיגָה
מסיבה	חַפְלָה
עמוד	מַצֵּבָה
עמוד	דַּף
ספרד	אַסְפַּמְיָה
אילן	עֵץ
שי	מַתָּנָה
שי	דּוֹרוֹן
שי	אֶשְׁכָּר
שי	זֶבֶד
שי	זֵבֶד
שי	מִנְחָה
שי	מַתָּת
שי	תְּשׁוּרָה
קליפ	וִידֵאוֹ קְלִיפּ
קופאין	קפאין
יבדל לחיים	יב״ל
יום שבת	שַׁבָּת
איגרת חוב	אג״ח
נמל תעופה	שְׂדֵה תְּעוּפָה
דר	גָּר
חדר מיון	מחלקה לרפואה דחופה
חדר מיון	מלר״ד
במהירות	מַהֵר
במהירות	בִּמְהֵרָה
מעשה	מעשייה
לובסטר	מחושתן
ניצח	הֵבִיס
קוטג׳	גבינת קוטג׳
שדה תעופה	נְמַל תְּעוּפָה
אורגניזם	יְצוּר
סלמון	אִלְתִּית
גרה	גיורת
קשישה	זקנה
שפך	התפזר
שפך	מזג
שפך	גמר
מטה	מַקֵּל
מטה	שַׁרְבִיט
מטה	שֵׁבֶט
גרוזיה	גֵּאוֹרְגְּיָה
סמארטפון	טלפון חכם
אולם	אבל
אולם	ברם
אולם	אלא
יוצאת	יוצאה
השיב	החזיר
תעשון	[[תעשו
גלולה	כדור
משונה	מוזר
אינפורמציה	מידע
בוודאי	ברור
אדריכלות	אַרְכִיטֶקְטוּרָה
אווירה	אטמוספרה
חמר	יַיִן
קליגרפיה	כתיבה תמה
סיני	הַר סִינַי
יאללה	קָדִימָה
יאללה	היידה
אדון	מַר
עב	עָנָן
עם זאת	בנוסף
בלי	בְּלֹא
בלי	לְלֹא
בלי	בִּלְעֲדֵי
כרגע	כָּעֵת
אוכל	מָזוֹן
זיעה	יֶזַע
חצי	מֶחֱצָה
חצי	מַחֲצִית
חתיך	לִירְד
חיכה	הִמְתִּין
שבץ	שבץ מוחי
וו	קֶרֶס
עמידה	שׁמוֹנֶה עֶשְׂרֵה
פלסטר	אֶגֶד מְדַבֵּק
טוגן	הִתְטַגֵּן
ציטט	הֵבִיא
מרד	הִתְקוֹמְמוּת
מרד	מֶרִי
ברוך הבא	בָּרוּךְ בּוֹאֲךָ
פאר	הָדָר
פאר	תִּפְאֶרֶת
פאר	הוֹד
זיקוקי די־נור	זיקוקים
תנ״כי	מקראי
אופן	wheel
מבחן	בְּחִינָה
דקל	תַּחַשׁ
דקל	כֶּלֶב נַקְנִיק
רואה חשבון	חַשָּׁב
שניצל	כתיתה
כתיתה	שניצל
לביבה	לאטקע
לביבה	לטקס
נסיעה	מַסָּע
נסיעה	טִיּוּל
חורש	grove
חורש	חורשה
ריקוד	מָחוֹל
לעיתים	לִפְעָמִים
מניין	מֵאַיִן
מניין	מֵאֵיפֹה
נם	יָשֵׁן
שאיבת שומן	ליפוסקציה
פגש	נפגש
חוכמה	בִּינָה
נאקה	גְּמַלָּה
ערוץ	אָפִיק
מעיין	עַיִן
עסוק	עֲבוֹדָה
עסוק	work
עסוק	מִקְצוֹעַ
עסוק	occupation
בחינה	מִבְחָן
חומר	כֹּר
חומר	כֹּר
אדרת	מְעִיל
צער	עֶצֶב
בימה	בָּמָה
כיבס	רָחַץ
מאוורר	וֶנְטִילָטוֹר
ונטילטור	מאוורר
התגלגל	הִתְפַּתֵּחַ
בינה מלאכותית	אִינְטֶלִיגֶנְצְיָה מְלָאכוּתִית
אינטליגנטי	חָכָם
אינטליגנטי	נָבוֹן
אינטליגנציה מלאכותית	בִּינָה מְלָאכוּתִית
נבון	חָכָם
נבון	אִינְטֶלִיגֶנְטִי
הרשה	אפשר
הרשה	נתן
ארץ ישראל	א״י
אימייל	דוא״ל
אימייל	דואר אלקטרוני
מפליא	מְהַמֵּם
מפליא	מַדְהִים
אסון	קָטַסְטְרוֹפָה
שחרית	תפילת שחרית
מנחה	tr=t'filát minkhá
דיסק קשיח	כּוֹנָן קָשִׁיחַ
כונן קשיח	דִּיסְק קָשִׁיחַ
עומר	עשרון
רוגע	דְּמָמָה
נעלם	הִתְנַדֵּף
דואר אלקטרוני	דוא״ל
דואר אלקטרוני	אימייל
שביט	כּוֹכַב שָׁבִיט
שלב	רָמָה
חמין	טְשׁוֹלְנְט
קיצוץ	קִפּוּד
קיצוץ	גְּזִירָה
קיצוץ	קְטִימָה
קיצוץ	גְּזִיזָה
קיצוץ	גִּזּוּם
קיצוץ	גִּזְגּוּז
קיצוץ	גְּזִימָה
קיצור	סיכום
קדמון	קַדְמוֹנִי
קדמון	קָדוּם
ציפורן	טֹפֶר
ביאס	sadden
ביאס	miserable
ביאס	oppress
ביאס	suppress
ביאס	overpower
ביאס	cause
ביאס	crush
ביאס	depression
ביאס	despair
ביאס	depressed
סף	doorstep
סף	threshold
מפתן	סַף
שיטפון	מַבּוּל
שיטפון	מַבּוּל
נסיך	בֵּן־מֶלֶךְ
זולת	רֵעַ
זולת	אַחֵר
ששון	שִׂמְחָה
רן	שָׁר
רן	sing
תכוף	תָּדִיר
תדיר	תָּכוּף
חקר הדגים	ichthyology
חקר הדגים	אִיכְתִּיּוֹלוֹגְיָה
אנוכיות	אֵגוֹאִיזְם
אנוכיות	egotism
אנוכיות	egoism
הווה	בֵּינוֹנִי
קבוצי	אָסוֹצְיָאטִיבִי
אומה	nation
אומה	גּוֹי
אומה	Israel
אומה	crowd
אומה	people
אומה	עַם
אומה	nation
וטו	הַחְלָטָה חוֹסֶמֶת
וטו	קוֹל חוֹסֵם
ישבן	עכוז
ישבן	שת
ישבן	תחת
לוין	יָרֵחַ
לוין	גְּרוּרָה
רביעייה	קוורטֶט
רוגטקה	מִקְלַעַת
רוגטקה	קָטָפּוּלְטָה
ארכיון	גַּנְזַךְ
ארכיון	אַרְכִיב
דורון	מַתָּנָה
דורון	שַׁי
דורון	אֶשְׁכָּר
דורון	זֶבֶד
דורון	זֵבֶד
דורון	אֶתְנָה
דורון	מִנְחָה
דורון	מַתָּת
דורון	תְּשׁוּרָה
העדר	מַחְסוֹר
ממון	הוֹן
ממון	כֶּסֶף
אוד מוצל מאש	שׂוֹרֵד
ימאי	סַפָּן
ימאי	מַלָּח
בית חרושת	מִפְעָל
הסכמה	קוֹנְצֶנְזוּס
הסכמה	הַרְשָׁאָה
זנב סוס	קוקו
מארס	מֶרְץ
מארס	מַאְדִּים
משוא פנים	הַעֲדָפָה
משוא פנים	אַפְלָיָה
התיש	עָיַף
התיש	קָרַע
צ׳אט	שִׂיחוּחַ
פולין	פּוֹלַנְיָה
תיכון	חטיבה עליונה
שמירת הלשון	שמירת לשון הרע
מיסתור	מַחְבּוֹא
אף על פי כן	אעפ״כ
אוקיינוס	יָם
רפסודה	אַסְדָּה
רפסודה	דוֹבְרָה
פגיע	רָגִישׁ
חרדיות	יהדות חרדית
יהדות חרדית	חֲרֵדִיּוּת
גיזרון	etymology
גיזרון	אֵטִימוֹלוֹגְיָה
קיים יחסי מין	זיין
קיים יחסי מין	דפק
קיים יחסי מין	קיים יחסים
קיים יחסי מין	בעל
לבב	לֵב
המה	נֶאֱנַח
אודם	שְׂפָתוֹן
לאום	גּוֹי
לאום	עַם
הפציר	פָּצַר
תזוזה	תְּנוּעָה
תזוזה	נִיד
תזוזה	מָנוֹד
צונמי	נחשול רעש
ק״ת	ק״ש
ק״ש	ק״ת
רהב	יְהִירוּת
אורנוס	אורון
נפטון	רהב
מייד	עַל הַמָּקוֹם
מגן ביצים	מָגֵן אֲשָׁכִים
מגן אשכים	מָגֵן בֵּיצִים
התכופף	נִכְנַע
עורר	דִּרְבֵּן
תואר	שם תואר
הזדעזע	הִתְפַּלֵּץ
תחילה	בְּרֵאשִׁית
הגניב	הִבְרִיחַ
שומשום	סוּמְסוּם
הגיב	עָנָה
בכור	פֶּטֶר
שליט	שַׁמָּשׁ
זיון	יַחֲסֵי מִין
חמסין	שָׁרָב
תבע	דָּרַשׁ
במאי	בִּימַאי
שוטף	מִתְמַשֵּׁךְ
תצליל	אָקוֹרְד
יהודה ושומרון	הַגָּדָה הַמַּעֲרָבִית
יהודה ושומרון	יוֹ״שׁ
אנס	הִכְרִיחַ
אנס	כָּפָה
מכר	מְכִירָה
הולם	רָאוּי
הולם	מַתְאִים
