# lang=ru
большой	маленький
многолюдный	немноголю́дный
неспокойный	споко́йный
некорректный	корре́ктный
неблагополучный	благополу́чный
неработающий	рабо́тающий
спешный	неспе́шный
несоблюдение	соблюде́ние
складный	нескла́дный
неоднородный	одноро́дный
нематериальный	материа́льный
равносильный	неравноси́льный
сытный	несы́тный
укротимый	неукроти́мый
несвоевременный	своевре́менный
правомерный	неправоме́рный
приязненный	неприя́зненный
неграмотность	гра́мотность
монархический	антимонархи́ческий
запрещённый	разрешённый
переносимый	непереноси́мый
неженатый	жена́тый
разнонаправленный	однонапра́вленный
немилость	ми́лость
состоятельность	несостоя́тельность
законченность	незавершённость
законченность	незако́нченность
недоступность	досту́пность
непоследовательность	после́довательность
партийность	беспарти́йность
осмотрительный	неосмотри́тельный
неадекватность	адеква́тность
невкусный	вку́сный
недурной	дурно́й
неповоротливый	поворо́тливый
недееспособный	дееспосо́бный
неподготовленный	подгото́вленный
неуютный	ую́тный
ритмичный	неритми́чный
по-мужски	по-же́нски
по-женски	по-мужски́
слёзный	бесслёзный
непереносимый	переноси́мый
незавидный	зави́дный
непрочный	про́чный
нетленный	тле́нный
нецензурный	цензу́рный
тленный	нетле́нный
неуживчивый	ужи́вчивый
радивый	неради́вый
ёфикатор	деёфика́тор
непрочность	про́чность
полнить	стройни́ть
стройнить	полни́ть
стройнить	толсти́ть
русофобский	русофи́льский
русофильский	русофо́бский
орк	эльф
Щеневмерла	Роисся, вперде
несогласованный	согласо́ванный
невыездной	выездно́й
неблагожелательный	благожела́тельный
необдуманный	обду́манный
низкооплачиваемый	высокооплачиваемый
послебрачный	добра́чный
пренебрегаемый	уважаемый
пренебрегаемый	почитаемый
этичный	неэти́чный
надеваться	снима́ться
непоколебимость	неустойчивость
