# lang=ru
негр	африка́нец
негр	а́фро-америка́нец
негр	African American
негр	негро́ид
негр	черножо́пый
негр	черноко́жий
негр	чернома́зый
негр	чёрный
раздолье	приволье
лишь	еди́нственно
лишь	исключи́тельно
лишь	всего́
лишь	то́лько
лишь	как то́лько
лишь	едва́
фу	фу-фу́
жизнь	житьё
жизнь	житие́
жизнь	жисть
жизнь	жись
жизнь	житу́ха
общею	о́бщей
крёстный отец	крёстный
ход	движе́ние
ход	курс
ход	разви́тие
ход	тече́ние
ход	вход
делать из мухи слона	преувеличивать
делать из мухи слона	утрировать
метр	м
пьянка	попо́йка
пьянка	вечери́нка
ландушка	брю́ква
эль	эл
пэ	поко́й
вэ	фа́у
вэ	дубль-вэ́
правило	зако́н
правило	при́нцип
правило	приём
правило	предписа́ние
правило	но́рма
кобель	пёс
пиздец	ппц
пиздец	коне́ц
пиздец	кры́шка
пиздец	хана́
пиздец	капу́т
пиздец	кирды́к
пиздец	каю́к
пиздец	кранты́
пиздец	песе́ц
пиздец	писе́ц
пиздец	абза́ц
пиздец	пипе́ц
пиздец	кабзде́ц
пиздец	трынде́ц
пиздец	кранде́ц
сокращение	кра́ткая фо́рма
сообщество	о́бщество
нафта	нефть
нафта	лигрои́н
французский поцелуй	поцелу́й взасос
французский поцелуй	куннили́нгус
французский поцелуй	минет
машина	механи́зм
машина	автомоби́ль
сажать	сади́ть
срок	отре́зок вре́мени
срок	пери́од
срок	промежу́ток
прежде всего	в пе́рвую о́чередь
кузнец	кова́ль
норвежец	норве́г
норвежец	норг
невеста	молода́я
невеста	новобра́чная
сударыня	мэм
сударыня	мада́м
крёстный	крёстный оте́ц
крестьянин	земледе́лец
крестьянин	землепа́шец
крестьянин	скотовод
наконец	в конце́ концо́в
наконец	в коне́чном ито́ге
клапан	задви́жка
клапан	ве́нтиль
течь	стека́ть
невозможно	недопусти́мо
невозможно	нельзя́
рыцарь	кавале́р
пиндос	америка́нец
пиндос	америко́с
пиндос	а́мер
пиндос	я́нки
хохол	укр
хохол	х-сло́во
хохол	украи́нец
хохол	Тара́с
хохол	Мико́ла
хохол	салое́д
хохол	малору́сс
хохол	укро́п
хохол	малоро́сс
хохол	х-слю́р
хохол	х-сло́во
сигнал	знак
специалист	до́ка
специалист	ма́стер
специалист	профессиона́л
специалист	экспе́рт
мёртвый	уме́рший
мёртвый	безжи́зненный
мёртвый	бесполе́зный
мёртвый	пусто́й
мысль	мыслю́ха
мысль	рассужде́ние
мысль	ду́ма
мысль	мы́шление
мысль	мышле́ние
мысль	конце́пция
мысль	иде́я
ответ	о́тзыв
ответ	о́тклик
